player_name,ktc_name
DJ Moore,D.J. Moore
Gabe Davis,Gabriel Davis
Tyler Allgeierarrow_circle_up,Tyler Allgeier
Joshua Palmer,Josh Palmer
Jeff Wilson,Jeffery Wilson
DJ Chark,D.J. Chark
Teddy Bridgewaterarrow_circle_up,Teddy Bridgewater
Irv Smith,Irv Smith Jr.
Hassan Haskinsarrow_circle_up,Hassan Haskins
Nick Foles,
John Wolford,
Bryce Perkins,
Pierre Strong,Pierre Strong Jr.
Brett Rypien,
Raheem Blackshear,
Mark Ingram,
Mitch Trubisky,Mitchell Trubisky
Justin Watson,
PJ Walker,P.J. Walker
Samori Toure,
